"id","category","dificulty_level","option1","option2","option3","option4","question_title","right_answer"
1,"java","Eazy","class","extends","implements","static","Which java keyword is used to create a subClass ?","extends"
6,"java","Easy","4","5","6","compile error","What is output of following java code snippet?
 int x=5;
 System.out.println(x++);","5"
7,"java","Easy","true","false","0","null","In java, What is the default value of an uninitialized boolean variable ?","false"
8,"java","Easy","127","255","32767","64","What is the maximum value that can be stored in a byte variable in Java?","127"
9,"java","Easy","char","String","letter","ch","Which data type is used to store a single character in Java?","char"
10,"java","Easy","0","1","-1","null","What is the default value of an int variable in Java if it's not explicitly initialized?","0"
11,"java","Easy","my_var","_my_var","3rdVar","$var","Which of the following is not a valid identifier for a Java variable?","3rdVar"
12,"java","Easy","public static int main(String[] args)","public static int(String[] args)","public static void main(String[] args)","None of the above","What is correct syntax for main method of a java class?","public static void main(String[] args)"
13,"java","Easy","0","0.0","null","undefined","What is the default value of byte variable?","0"
14,"java","Easy","Polymorphism is the ability of an object to take on many forms.","Polymorphism is a technique to define different methods of same type.","Polymorphism is a technique to define different objects of same type.","None of the above.","What is polymorphism?","Polymorphism is the ability of an object to take on many forms."
15,"javascript","Easy","JavaScript is a lightweight, interpreted programming language.","JavaScript is designed for creating network-centric applications.","JavaScript is complementary to and integrated with Java.","All of the above.","Which of the following is correct about features of JavaScript?","All of the above."
16,"javascript","Easy","window.print();","browser.print();","navigator.print();","document.print();","Which of the following is the correct syntax to print a page using JavaScript?","window.print()"
17,"javascript","Easy","global variable","local variable","Both of the above","None of the above"," Which of the following type of variable takes precedence over other if names are same?","local variable"
18,"javascript","Easy","var book = Object();","var book = new Object();","var book = NEW OBJECT();","var book = new Book();","Which of the following code creates an object?","var book = new Book();"
19,"javascript","Easy","pop()","push()","join()","map()","Which of the following function of Array object removes the last element from an array and returns that element?","pop()"
20,"javascript","Easy","reverse()","push()","reduce()","reduceRight()","Which of the following function of Array object reverses the order of the elements of an array?","reverse()"
21,"Typescript","Easy","Memory Management","Dynamic Typing","Static Typing","Asynchronous operations"," What is TypeScript primarily used for?","Static Typing"
22,"Typescript","Easy","void","any","dynamic","tuples","Which of the following is NOT a valid TypeScript data type?","dynamic"
23,"Typescript","Easy","const","static","readonly","fixed","How do you denote a variable as readonly in TypeScript?","readonly"
24,"Typescript","Easy","confunction myFunc(): undefined","function myFunc(): void","function myFunc(): null","function myFunc(): none","How do you specify that a function does not return anything in TypeScript?","function myFunc(): void"
25,"Typescript","Easy","interface","typedef","type","Both A and C","How do you define a custom type in TypeScript?","Both A and C"
